,departement,lieu_id,Fermeture_Estivale,categorie,name_x,close.actif,close.dateDebut,close.dateFin,name_y,Counts
33135,Hauts-de-Seine,3662,Ouvert,402.0,,False,,,Permanence juridique,1
33139,Hauts-de-Seine,3666,Modification,202.0,fle,False,,,Formation français,1
33145,Val-d'Oise,3673,Modification,202.0,Formation et emploi,True,2021-12-14 00:00:00+00:00,,Formation français,1
33160,Yvelines,3692,Modification,110.0,SANTE,False,,,Infirmerie,1
33165,Paris,3700,Ouvert,602.0,diner,False,,,Restauration assise,1
33167,Paris,3702,Fermé,201.0,Formation et emploi,False,,,Atelier numérique,1
33168,Gironde,3704,Modification,602.0,dejeuner,True,2021-06-21 00:00:00+00:00,2021-09-06 00:00:00+00:00,Restauration assise,1
33170,Paris,3721,Ouvert,505.0,,False,,,Numérisation de documents,1
33171,Paris,3730,Fermé,402.0,Conseil,False,,,Permanence juridique,1
33188,Seine-Saint-Denis,3753,Ouvert,501.0,Technologie,False,,,Ordinateur,1
33189,Loire-Atlantique,3754,Ouvert,804.0,Atelier radio,False,,,Activités,1
33192,Yvelines,3758,Fermé,804.0,Halte répis détente Alzheimer,False,,,Activités,1
33193,Seine-Saint-Denis,3759,Ouvert,203.0,Formation et emploi,,,,Accompagnement à l'emploi,1
33194,Yvelines,3760,Ouvert,903.0,,False,,,Vêtements,1
33207,Gironde,3777,Fermé,804.0,Couture,True,,,Activités,1
33212,Gironde,3782,Ouvert,804.0,Atelier écriture,False,,,Activités,1
33231,Yvelines,3801,Fermé,602.0,dejeuner,False,,,Restauration assise,1
33234,Paris,3804,Fermé,202.0,alphabetisation,False,,,Formation français,1
33236,Gironde,3806,Fermé,303.0,Coiffure,True,2021-12-18 00:00:00+00:00,2022-01-03 00:00:00+00:00,Bien-être,1
33239,Gironde,3811,Fermé,202.0,fle,False,,,Formation français,1
33245,Yvelines,3819,Ouvert,203.0,FORMATION_EMPLOI,False,,,Accompagnement à l'emploi,1
33255,Hauts-de-Seine,3829,Fermé,402.0,Conseil,False,,,Permanence juridique,1
33261,Hauts-de-Seine,3835,Ouvert,407.0,CONSEIL,True,2021-12-24 00:00:00+00:00,2022-01-02 00:00:00+00:00,Conseil administratif,1
33264,Gironde,3849,Ouvert,404.0,Conseil,False,,,Accompagnement social,1
33268,Hauts-de-Seine,3861,Modification,804.0,,False,,,Activités,1
33271,Seine-et-Marne,3864,Fermé,304.0,Hygiène et bien-être,False,,,Toilettes,1
33273,Hauts-de-Seine,3867,Ouvert,402.0,CONSEIL,False,,,Permanence juridique,1
33274,Gironde,3869,Ouvert,602.0,petitdej,False,,,Restauration assise,1
33281,Hauts-de-Seine,3882,Modification,804.0,Sorties culturelles,False,,,Activités,1
33284,Gironde,3890,Fermé,404.0,Conseil,False,,,Accompagnement social,1
33285,Hauts-de-Seine,3893,Fermé,201.0,Formation et emploi,False,,,Atelier numérique,1
33286,Hauts-de-Seine,3894,Ouvert,407.0,Conseil,False,,,Conseil administratif,1
33301,Hauts-de-Seine,3945,Fermé,402.0,Conseil,False,,,Permanence juridique,1
33307,Hauts-de-Seine,3953,Ouvert,103.0,Santé,True,2021-12-18 00:00:00+00:00,2022-01-02 00:00:00+00:00,Psychologie,1
33312,Gironde,3960,Ouvert,804.0,Consoles de jeu,False,,,Activités,1
33318,Hauts-de-Seine,3973,Fermé,404.0,Conseil,False,,,Accompagnement social,1
33321,Hauts-de-Seine,3988,Ouvert,402.0,Conseil,True,2021-12-17 00:00:00+00:00,2022-01-02 00:00:00+00:00,Permanence juridique,1
