,departement,bigCategorie,Changement d'horaire,Services fermés,Fermé,Ouvert
164,Paris,Conseil,0,0,1,0
165,Paris,Conseil,0,0,1,0
166,Paris,Conseil,0,0,1,0
167,Paris,Conseil,0,0,1,0
168,Paris,Conseil,0,0,0,1
169,Paris,Matériel,0,0,0,1
170,Paris,Matériel,0,0,0,1
171,Paris,Matériel,1,0,0,0
172,Paris,Matériel,0,0,0,1
173,Paris,Activités,0,0,0,1
174,Paris,Activités,0,0,0,1
175,Paris,Activités,0,0,0,1
176,Paris,Activités,1,0,0,0
177,Paris,Activités,0,0,1,0
178,Paris,Activités,0,0,0,1
179,Paris,Activités,1,0,0,0
180,Paris,Activités,0,0,0,1
181,Paris,Activités,1,0,0,0
182,Paris,Activités,0,0,0,1
183,Paris,Activités,0,0,0,1
184,Paris,Activités,0,0,0,1
185,Paris,Activités,0,0,1,0
186,Paris,Activités,0,0,0,1
187,Paris,Activités,0,0,0,1
188,Paris,Activités,1,0,0,0
189,Paris,Activités,1,0,0,0
190,Paris,Activités,0,0,1,0
191,Paris,Activités,1,0,0,0
192,Paris,Activités,0,0,1,0
193,Paris,Activités,0,0,0,1
194,Paris,Activités,1,0,0,0
195,Paris,Activités,0,0,1,0
196,Paris,Activités,0,0,0,1
197,Paris,Activités,0,0,0,1
198,Paris,Activités,0,0,0,1
199,Paris,Activités,1,0,0,0
200,Paris,Activités,0,0,0,1
201,Paris,Activités,1,0,0,0
202,Paris,Activités,0,0,0,1
203,Paris,Activités,0,0,0,1
204,Paris,Activités,1,0,0,0
205,Paris,Activités,0,0,0,1
206,Paris,Activités,0,0,1,0
207,Paris,Activités,0,0,0,1
208,Paris,Activités,0,0,0,1
209,Paris,Activités,1,0,0,0
210,Paris,Activités,0,0,0,1
211,Paris,Activités,0,0,0,1
212,Paris,Activités,0,0,0,1
213,Paris,Activités,0,0,0,1
214,Paris,Activités,0,0,0,1
215,Paris,Activités,0,0,0,1
216,Paris,Activités,1,0,0,0
217,Paris,Activités,0,0,1,0
218,Paris,Activités,0,0,0,1
219,Paris,Activités,1,0,0,0
220,Paris,Activités,0,0,0,1
221,Paris,Activités,0,0,0,1
222,Paris,Activités,1,0,0,0
223,Paris,Activités,1,0,0,0
224,Paris,Activités,0,0,1,0
225,Paris,Activités,0,0,0,1
226,Paris,Activités,0,0,0,1
227,Paris,Activités,1,0,0,0
228,Paris,Activités,0,0,0,1
229,Paris,Activités,1,0,0,0
230,Paris,Activités,1,0,1,0
231,Paris,Activités,0,0,1,0
232,Paris,Activités,1,0,0,0
233,Paris,Hygiène,0,0,1,0
